,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population% Afghan,Total population% Albanian,Total population% Alsatian,Total population% American,Total population% Arab:,Total population% Arab:% Egyptian,Total population% Arab:% Iraqi,Total population% Arab:% Jordanian,Total population% Arab:% Lebanese,Total population% Arab:% Moroccan,Total population% Arab:% Palestinian,Total population% Arab:% Syrian,Total population% Arab:% Arab,Total population% Arab:% Other Arab,Total population% Armenian,Total population% Assyrian/Chaldean/Syriac,Total population% Australian,Total population% Austrian,Total population% Basque,Total population% Belgian,Total population% Brazilian,Total population% British,Total population% Bulgarian,Total population% Cajun,Total population% Canadian,Total population% Carpatho Rusyn,Total population% Celtic,Total population% Croatian,Total population% Cypriot,Total population% Czech,Total population% Czechoslovakian,Total population% Danish,Total population% Dutch,Total population% Eastern European,Total population% English,Total population% Estonian,Total population% European,Total population% Finnish,Total population% French (except Basque),Total population% French Canadian,Total population% German,Total population% German Russian,Total population% Greek,Total population% Guyanese,Total population% Hungarian,Total population% Icelander,Total population% Iranian,Total population% Irish,Total population% Israeli,Total population% Italian,Total population% Latvian,Total population% Lithuanian,Total population% Luxemburger,Total population% Macedonian,Total population% Maltese,Total population% New Zealander,Total population% Northern European,Total population% Norwegian,Total population% Pennsylvania German,Total population% Polish,Total population% Portuguese,Total population% Romanian,Total population% Russian,Total population% Scandinavian,Total population% Scotch-Irish,Total population% Scottish,Total population% Serbian,Total population% Slavic,Total population% Slovak,Total population% Slovene,Total population% Soviet Union,Total population% Subsaharan African:,Total population% Subsaharan African:% Cape Verdean,Total population% Subsaharan African:% Ethiopian,Total population% Subsaharan African:% Ghanaian,Total population% Subsaharan African:% Kenyan,Total population% Subsaharan African:% Liberian,Total population% Subsaharan African:% Nigerian,Total population% Subsaharan African:% Senegalese,Total population% Subsaharan African:% Sierra Leonean,Total population% Subsaharan African:% Somalian,Total population% Subsaharan African:% South African,Total population% Subsaharan African:% Sudanese,Total population% Subsaharan African:% Ugandan,Total population% Subsaharan African:% Zimbabwean,Total population% Subsaharan African:% African,Total population% Subsaharan African:% Other Subsaharan African,Total population% Swedish,Total population% Swiss,Total population% Turkish,Total population% Ukrainian,Total population% Welsh,Total population% West Indian (except Hispanic groups):,Total population% West Indian (except Hispanic groups):% Bahamian,Total population% West Indian (except Hispanic groups):% Barbadian,Total population% West Indian (except Hispanic groups):% Belizean,Total population% West Indian (except Hispanic groups):% Bermudan,Total population% West Indian (except Hispanic groups):% British West Indian,Total population% West Indian (except Hispanic groups):% Dutch West Indian,Total population% West Indian (except Hispanic groups):% Haitian,Total population% West Indian (except Hispanic groups):% Jamaican,Total population% West Indian (except Hispanic groups):% Trinidadian and Tobagonian,Total population% West Indian (except Hispanic groups):% U.S. Virgin Islander,Total population% West Indian (except Hispanic groups):% West Indian,Total population% West Indian (except Hispanic groups):% Other West Indian,Total population% Yugoslavian,Total population% Other groups,Total population% Unclassified or not reported,Total population,Total population% American,Total population% Arab,Total population% British,Total population% Czech,Total population% Danish,Total population% Dutch,Total population% English,Total population% European,Total population% French (except Basque),Total population% French Canadian,Total population% German,Total population% Greek,Total population% Hungarian,Total population% Irish,Total population% Italian,Total population% Lithuanian,Total population% Norwegian,Total population% Polish,Total population% Portuguese,Total population% Russian,Total population% Scotch-Irish,Total population% Scottish,Total population% Slovak,Total population% Subsaharan African,Total population% Swedish,Total population% Swiss,Total population% Ukrainian,Total population% Welsh,Total population% West Indian (except Hispanic groups),Total population% Other groups,Total population% Unclassified or not reported,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,17,2,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,17,3,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,17,4,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,17,5,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,17,6,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,17,7,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,17,8,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,17,9,604453.0,49.0,695.0,0.0,7181.0,3234.0,285.0,268.0,0.0,1377.0,114.0,285.0,53.0,569.0,283.0,364.0,0.0,309.0,1177.0,84.0,278.0,791.0,3144.0,147.0,42.0,684.0,92.0,0.0,819.0,0.0,745.0,102.0,837.0,2164.0,4261.0,20249.0,120.0,6867.0,984.0,6778.0,936.0,23994.0,0.0,2127.0,224.0,1389.0,0.0,901.0,27609.0,83.0,10878.0,126.0,687.0,0.0,0.0,33.0,409.0,554.0,1841.0,69.0,6134.0,752.0,988.0,6458.0,1052.0,2171.0,4429.0,382.0,0.0,322.0,173.0,0.0,17570.0,41.0,4660.0,193.0,0.0,104.0,2164.0,0.0,150.0,83.0,41.0,43.0,71.0,0.0,9399.0,621.0,2917.0,980.0,840.0,1635.0,1508.0,6747.0,0.0,188.0,58.0,181.0,185.0,0.0,879.0,2796.0,953.0,57.0,1450.0,0.0,171.0,351479.0,63688.0,604453.0,7181.0,3234.0,3144.0,745.0,837.0,2164.0,20249.0,6867.0,6778.0,936.0,23994.0,2127.0,1389.0,27609.0,10878.0,687.0,1841.0,6134.0,752.0,6458.0,2171.0,4429.0,322.0,17570.0,2917.0,980.0,1635.0,1508.0,6747.0,368482.0,63688.0,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109673.0,2098.0,2136.0,1007.0,61.0,438.0,789.0,8951.0,2094.0,2601.0,76.0,9218.0,971.0,938.0,10613.0,4558.0,224.0,760.0,2449.0,412.0,3097.0,937.0,1638.0,58.0,364.0,1290.0,405.0,686.0,768.0,456.0,33829.0,15751.0,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117253.0,1921.0,145.0,161.0,0.0,40.0,209.0,1794.0,1059.0,604.0,206.0,2163.0,290.0,0.0,3941.0,840.0,63.0,344.0,567.0,101.0,920.0,253.0,498.0,108.0,5270.0,400.0,136.0,241.0,175.0,1343.0,79531.0,13930.0,79500US1100102,"PUMA5 00102, District of Columbia"
