,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% 12:00 a.m. to 4:59 a.m.,Workers 16 years and over who did not work at home% 5:00 a.m. to 5:29 a.m.,Workers 16 years and over who did not work at home% 5:30 a.m. to 5:59 a.m.,Workers 16 years and over who did not work at home% 6:00 a.m. to 6:29 a.m.,Workers 16 years and over who did not work at home% 6:30 a.m. to 6:59 a.m.,Workers 16 years and over who did not work at home% 7:00 a.m. to 7:29 a.m.,Workers 16 years and over who did not work at home% 7:30 a.m. to 7:59 a.m.,Workers 16 years and over who did not work at home% 8:00 a.m. to 8:29 a.m.,Workers 16 years and over who did not work at home% 8:30 a.m. to 8:59 a.m.,Workers 16 years and over who did not work at home% 9:00 a.m. to 9:59 a.m.,Workers 16 years and over who did not work at home% 10:00 a.m. to 10:59 a.m.,Workers 16 years and over who did not work at home% 11:00 a.m. to 11:59 a.m.,Workers 16 years and over who did not work at home% 12:00 p.m. to 3:59 p.m.,Workers 16 years and over who did not work at home% 4:00 p.m. to 11:59 p.m.,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% Less than 5 minutes,Workers 16 years and over who did not work at home% 5 to 9 minutes,Workers 16 years and over who did not work at home% 10 to 14 minutes,Workers 16 years and over who did not work at home% 15 to 19 minutes,Workers 16 years and over who did not work at home% 20 to 24 minutes,Workers 16 years and over who did not work at home% 25 to 29 minutes,Workers 16 years and over who did not work at home% 30 to 34 minutes,Workers 16 years and over who did not work at home% 35 to 39 minutes,Workers 16 years and over who did not work at home% 40 to 44 minutes,Workers 16 years and over who did not work at home% 45 to 59 minutes,Workers 16 years and over who did not work at home% 60 to 89 minutes,Workers 16 years and over who did not work at home% 90 or more minutes,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% 12:00 a.m. to 4:59 a.m.,Workers 16 years and over who did not work at home% 5:00 a.m. to 5:29 a.m.,Workers 16 years and over who did not work at home% 5:30 a.m. to 5:59 a.m.,Workers 16 years and over who did not work at home% 6:00 a.m. to 6:29 a.m.,Workers 16 years and over who did not work at home% 6:30 a.m. to 6:59 a.m.,Workers 16 years and over who did not work at home% 7:00 a.m. to 7:29 a.m.,Workers 16 years and over who did not work at home% 7:30 a.m. to 7:59 a.m.,Workers 16 years and over who did not work at home% 8:00 a.m. to 8:29 a.m.,Workers 16 years and over who did not work at home% 8:30 a.m. to 8:59 a.m.,Workers 16 years and over who did not work at home% 9:00 a.m. to 11:59 p.m.,Workers 16 years and over who did not work at home,Workers 16 years and over who did not work at home% Less than 10 minutes,Workers 16 years and over who did not work at home% 10 to 14 minutes,Workers 16 years and over who did not work at home% 15 to 19 minutes,Workers 16 years and over who did not work at home% 20 to 24 minutes,Workers 16 years and over who did not work at home% 25 to 29 minutes,Workers 16 years and over who did not work at home% 30 to 34 minutes,Workers 16 years and over who did not work at home% 35 to 44 minutes,Workers 16 years and over who did not work at home% 45 to 59 minutes,Workers 16 years and over who did not work at home% 60 or more minutes,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,43,2,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,43,3,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,43,4,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,43,5,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,43,6,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,43,7,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,43,8,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,43,9,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,29014,6383,2261,12587,12200,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,281847,5415,4098,9145,17967,16654,34854,36879,57249,37141,62445,281847,13797,21776,36337,48160,20846,58477,28451,28760,25243,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,43,10,53368,323,224,389,2482,2840,5138,7652,12062,10601,7033,1591,426,1565,1042,53368,732,2056,3770,6372,9517,4378,12800,2188,4273,5472,1587,223,53368,323,224,389,2482,2840,5138,7652,12062,10601,11657,53368,2788,3770,6372,9517,4378,12800,6461,5472,1810,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,43,11,58072,1123,1312,1612,5401,2354,8825,7868,10715,4240,6531,1385,835,2560,3311,58072,204,1675,2841,5989,10370,4407,13042,2525,3606,7614,4927,872,58072,1123,1312,1612,5401,2354,8825,7868,10715,4240,14622,58072,1879,2841,5989,10370,4407,13042,6131,7614,5799,79500US1100102,"PUMA5 00102, District of Columbia"
