,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total:,Male:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Female:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Total:,Male:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Female:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Total:,Male:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Female:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Total:,Male:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Female:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Total:,Male:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Female:,Under 18 years:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,18 years and over:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Total:,Male,Female,Native:,Male,Female,Foreign born:,Male,Female,Naturalized U.S. citizen:,Male,Female,Not a U.S. citizen:,Male,Female,Total:,Entered 2000 or later:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Entered 1990 to 1999:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Entered 1980 to 1989:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Entered before 1980:,Native,Foreign born:,Naturalized U.S. citizen,Not a U.S. citizen,Total:,Male:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Female:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Total:,Male:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Female:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Total:,Male:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Female:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Total:,Male:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Female:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Total:,Male:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Female:,Under 18 years:,Native,Foreign born,18 years and over:,Native,Foreign born,Total:,Entered 2000 or later:,Native,Foreign born,Entered 1990 to 1999:,Native,Foreign born,Entered 1980 to 1989:,Native,Foreign born,Entered before 1980:,Native,Foreign born,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,172,2,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,172,3,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,172,4,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,172,5,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,172,6,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,172,7,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,172,8,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,172,9,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,292.0,371.0,7251.0,2637.0,4614.0,2070.0,2544.0,7507.0,2167.0,2088.0,79.0,0.0,79.0,5340.0,2000.0,3340.0,1242.0,2098.0,11790.0,5718.0,1468.0,1468.0,0.0,0.0,0.0,4250.0,3174.0,1076.0,564.0,512.0,6072.0,1762.0,1762.0,0.0,0.0,0.0,4310.0,3377.0,933.0,416.0,517.0,210100.0,103915.0,8972.0,8587.0,385.0,99.0,286.0,94943.0,85566.0,9377.0,3543.0,5834.0,106185.0,8523.0,8378.0,145.0,56.0,89.0,97662.0,87703.0,9959.0,4481.0,5478.0,55256.0,28823.0,6535.0,5258.0,1277.0,375.0,902.0,22288.0,7629.0,14659.0,3984.0,10675.0,26433.0,5723.0,5380.0,343.0,43.0,300.0,20710.0,8376.0,12334.0,3429.0,8905.0,33.9,33.6,34.2,32.6,32.1,33.2,38.3,37.8,38.7,47.1,47.0,48.2,35.0,34.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825.0,9318.0,2067.0,1404.0,663.0,7251.0,2637.0,4614.0,7507.0,2167.0,2088.0,79.0,5340.0,2000.0,3340.0,11790.0,5718.0,1468.0,1468.0,0.0,4250.0,3174.0,1076.0,6072.0,1762.0,1762.0,0.0,4310.0,3377.0,933.0,210100.0,103915.0,8972.0,8587.0,385.0,94943.0,85566.0,9377.0,106185.0,8523.0,8378.0,145.0,97662.0,87703.0,9959.0,55256.0,28823.0,6535.0,5258.0,1277.0,22288.0,7629.0,14659.0,26433.0,5723.0,5380.0,343.0,20710.0,8376.0,12334.0,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,172,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87034.0,40141.0,5816.0,5530.0,286.0,0.0,286.0,34325.0,30160.0,4165.0,1480.0,2685.0,46893.0,5129.0,5040.0,89.0,0.0,89.0,41764.0,35914.0,5850.0,2450.0,3400.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,33.9,35.9,33.1,31.5,33.7,45.0,47.5,42.6,59.8,54.8,60.6,39.0,44.7,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87034.0,40141.0,5816.0,5530.0,286.0,34325.0,30160.0,4165.0,46893.0,5129.0,5040.0,89.0,41764.0,35914.0,5850.0,7856.0,3840.0,604.0,468.0,136.0,3236.0,1993.0,1243.0,4016.0,294.0,294.0,0.0,3722.0,1623.0,2099.0,,,,,,,,,,,,,,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,172,11,,,,,,,,,,,,,,,,,,,,,,,,8941.0,4678.0,940.0,721.0,219.0,73.0,146.0,3738.0,1033.0,2705.0,1376.0,1329.0,4263.0,1715.0,1715.0,0.0,0.0,0.0,2548.0,961.0,1587.0,516.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,25335.0,13014.0,780.0,780.0,0.0,0.0,0.0,12234.0,10832.0,1402.0,705.0,697.0,12321.0,729.0,729.0,0.0,0.0,0.0,11592.0,10774.0,818.0,446.0,372.0,25220.0,13151.0,3119.0,2900.0,219.0,73.0,146.0,10032.0,1875.0,8157.0,2567.0,5590.0,12069.0,3080.0,3080.0,0.0,0.0,0.0,8989.0,3160.0,5829.0,1167.0,4662.0,35.7,35.8,35.6,33.3,32.9,33.7,39.5,38.9,40.5,49.5,47.3,60.1,37.2,36.0,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8941.0,4678.0,940.0,721.0,219.0,3738.0,1033.0,2705.0,4263.0,1715.0,1715.0,0.0,2548.0,961.0,1587.0,1958.0,982.0,204.0,204.0,0.0,778.0,496.0,282.0,976.0,210.0,210.0,0.0,766.0,626.0,140.0,25335.0,13014.0,780.0,780.0,0.0,12234.0,10832.0,1402.0,12321.0,729.0,729.0,0.0,11592.0,10774.0,818.0,25220.0,13151.0,3119.0,2900.0,219.0,10032.0,1875.0,8157.0,12069.0,3080.0,3080.0,0.0,8989.0,3160.0,5829.0,,,,,,,,,,,,,,79500US1100102,"PUMA5 00102, District of Columbia"
