,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total:,Householder lived in owner-occupied housing units,Householder lived in renter-occupied housing units,Same house 1 year ago:,Householder lived in owner-occupied housing units,Householder lived in renter-occupied housing units,Moved within same municipio:,Householder lived in owner-occupied housing units,Householder lived in renter-occupied housing units,Moved from different municipio:,Householder lived in owner-occupied housing units,Householder lived in renter-occupied housing units,Moved from the United States:,Householder lived in owner-occupied housing units,Householder lived in renter-occupied housing units,Moved from elsewhere:,Householder lived in owner-occupied housing units,Householder lived in renter-occupied housing units,Total:,Same residence (non-movers),Movers within same state,Movers to different state:,Northeast,Midwest,South,West,Movers from abroad:,Puerto Rico,U.S. Island Areas,Foreign country,Current residence; Northeast:,Same residence (non-movers),Movers within same state,Movers to different state:,Northeast,Midwest,South,West,Movers from abroad:,Puerto Rico,U.S. Island Areas,Foreign country,Current residence; Midwest:,Same residence (non-movers),Movers within same state,Movers to different state:,Northeast,Midwest,South,West,Movers from abroad:,Puerto Rico,U.S. Island Areas,Foreign country,Current residence; South:,Same residence (non-movers),Movers within same state,Movers to different state:,Northeast,Midwest,South,West,Movers from abroad:,Puerto Rico,U.S. Island Areas,Foreign country,Current residence; West:,Same residence (non-movers),Movers within same state,Movers to different state:,Northeast,Midwest,South,West,Movers from abroad:,Puerto Rico,U.S. Island Areas,Foreign country,Total:,Same house 1 year ago,Different house in Puerto Rico 1 year ago:,Same Metropolitan Statistical Area:,Moved from principal city,Moved from remainder of Metropolitan Statistical Area,Different Metropolitan Statistical Area:,Moved from principal city,Moved from remainder of Metropolitan Statistical Area,Micropolitan Statistical Area:,Moved from principal city,Moved from remainder of Micropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,United States 1 year ago:,Metropolitan Statistical Area:,Moved from principal city,Moved from remainder of Metropolitan Statistical Area,Micropolitan Statistical Area:,Moved from principal city,Moved from remainder of Micropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Abroad 1 year ago,Total:,Same house 1 year ago,Different house in Puerto Rico 1 year ago:,Same Micropolitan Statistical Area:,Moved from principal city,Moved from remainder of Micropolitan Statistical Area,Different Micropolitan Statistical Area,Metropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,United States 1 year ago,Abroad 1 year ago,Total:,Same house 1 year ago,Different house in Puerto Rico 1 year ago:,Metropolitan Statistical Area,Micropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,United States 1 year ago,Abroad 1 year ago,Total:,Same house 1 year ago,Different house in Puerto Rico 1 year ago:,Same city or town:,Same municipio,Different municipio,Elsewhere in Puerto Rico:,Same municipio,Different municipio,United States 1 year ago:,Northeast,Midwest,South,West,Elsewhere 1 year ago:,U.S. Island Areas,Foreign country,Total:,Same house 1 year ago,Different house in Puerto Rico 1 year ago:,Same Metropolitan Statistical Area:,Moved from principal city,Moved from remainder of Metropolitan Statistical Area,Different Metropolitan Statistical Area:,Moved from principal city,Moved from remainder of Metropolitan Statistical Area,Micropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,United States 1 year ago:,Metropolitan Statistical Area,Micropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Abroad 1 year ago,Total:,Same house 1 year ago,Different house in United States 1 year ago:,Same Micropolitan Statistical Area:,Moved from principal city,Moved from remainder of Micropolitan Statistical Area,Different Micropolitan Statistical Area,Metropolitan Statistical Area:,Moved from principal city,Moved from remainder of Metropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Abroad 1 year ago,Total:,Same house 1 year ago,Different house in United States 1 year ago:,Metropolitan Statistical Area:,Moved from principal city,Moved from remainder of Metropolitan Statistical Area,Micropolitan Statistical Area,Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Abroad 1 year ago,Total:,Same house 1 year ago,Different house in Puerto Rico 1 year ago:,Same city or town,Elsewhere in Puerto Rico:,Same municipio,Different municipio,United States 1 year ago,Elsewhere 1 year ago,Geographic Identifier,Area Name
0,ACSSF,20100.0,dc,0,178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20100.0,dc,0,178,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20100.0,dc,0,178,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20100.0,dc,0,178,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20100.0,dc,0,178,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20100.0,dc,0,178,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20100.0,dc,0,178,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20100.0,dc,0,178,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (111th Congress), District of Columbia"
8,ACSSF,20100.0,dc,0,178,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20100.0,dc,0,178,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100102,"PUMA5 00102, District of Columbia"
