,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Housing units,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,1,2,9689,4501,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,1,3,9689,4501,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,1,4,9689,4501,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,1,5,9689,4501,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,1,6,9689,4501,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,1,7,9689,4501,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,1,8,9689,4501,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,1,9,9689,4501,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,1,10,1665,679,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,1,11,1743,793,79500US1100102,"PUMA5 00102, District of Columbia"
10,ACSSF,20110.0,dc,0,1,12,2387,1107,79500US1100103,"PUMA5 00103, District of Columbia"
11,ACSSF,20110.0,dc,0,1,13,2177,1038,79500US1100104,"PUMA5 00104, District of Columbia"
12,ACSSF,20110.0,dc,0,1,14,1717,884,79500US1100105,"PUMA5 00105, District of Columbia"
13,ACSSF,20110.0,dc,0,1,15,9689,4501,97000US1100030,"District of Columbia Public Schools, District of Columbia"
