,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population%Afghan,Total population%Albanian,Total population%Alsatian,Total population%American,Total population%Arab:,Total population%Arab:%Egyptian,Total population%Arab:%Iraqi,Total population%Arab:%Jordanian,Total population%Arab:%Lebanese,Total population%Arab:%Moroccan,Total population%Arab:%Palestinian,Total population%Arab:%Syrian,Total population%Arab:%Arab,Total population%Arab:%Other Arab,Total population%Armenian,Total population%Assyrian/Chaldean/Syriac,Total population%Australian,Total population%Austrian,Total population%Basque,Total population%Belgian,Total population%Brazilian,Total population%British,Total population%Bulgarian,Total population%Cajun,Total population%Canadian,Total population%Carpatho Rusyn,Total population%Celtic,Total population%Croatian,Total population%Cypriot,Total population%Czech,Total population%Czechoslovakian,Total population%Danish,Total population%Dutch,Total population%Eastern European,Total population%English,Total population%Estonian,Total population%European,Total population%Finnish,Total population%French (except Basque),Total population%French Canadian,Total population%German,Total population%German Russian,Total population%Greek,Total population%Guyanese,Total population%Hungarian,Total population%Icelander,Total population%Iranian,Total population%Irish,Total population%Israeli,Total population%Italian,Total population%Latvian,Total population%Lithuanian,Total population%Luxemburger,Total population%Macedonian,Total population%Maltese,Total population%New Zealander,Total population%Northern European,Total population%Norwegian,Total population%Pennsylvania German,Total population%Polish,Total population%Portuguese,Total population%Romanian,Total population%Russian,Total population%Scandinavian,Total population%Scotch-Irish,Total population%Scottish,Total population%Serbian,Total population%Slavic,Total population%Slovak,Total population%Slovene,Total population%Soviet Union,Total population%Subsaharan African:,Total population%Subsaharan African:%Cape Verdean,Total population%Subsaharan African:%Ethiopian,Total population%Subsaharan African:%Ghanaian,Total population%Subsaharan African:%Kenyan,Total population%Subsaharan African:%Liberian,Total population%Subsaharan African:%Nigerian,Total population%Subsaharan African:%Senegalese,Total population%Subsaharan African:%Sierra Leonean,Total population%Subsaharan African:%Somalian,Total population%Subsaharan African:%South African,Total population%Subsaharan African:%Sudanese,Total population%Subsaharan African:%Ugandan,Total population%Subsaharan African:%Zimbabwean,Total population%Subsaharan African:%African,Total population%Subsaharan African:%Other Subsaharan African,Total population%Swedish,Total population%Swiss,Total population%Turkish,Total population%Ukrainian,Total population%Welsh,Total population%West Indian (except Hispanic groups):,Total population%West Indian (except Hispanic groups):%Bahamian,Total population%West Indian (except Hispanic groups):%Barbadian,Total population%West Indian (except Hispanic groups):%Belizean,Total population%West Indian (except Hispanic groups):%Bermudan,Total population%West Indian (except Hispanic groups):%British West Indian,Total population%West Indian (except Hispanic groups):%Dutch West Indian,Total population%West Indian (except Hispanic groups):%Haitian,Total population%West Indian (except Hispanic groups):%Jamaican,Total population%West Indian (except Hispanic groups):%Trinidadian and Tobagonian,Total population%West Indian (except Hispanic groups):%U.S. Virgin Islander,Total population%West Indian (except Hispanic groups):%West Indian,Total population%West Indian (except Hispanic groups):%Other West Indian,Total population%Yugoslavian,Total population%Other groups,Total population%Unclassified or not reported,Total population,Total population%American,Total population%Arab,Total population%British,Total population%Czech,Total population%Danish,Total population%Dutch,Total population%English,Total population%European,Total population%French (except Basque),Total population%French Canadian,Total population%German,Total population%Greek,Total population%Hungarian,Total population%Irish,Total population%Italian,Total population%Lithuanian,Total population%Norwegian,Total population%Polish,Total population%Portuguese,Total population%Russian,Total population%Scotch-Irish,Total population%Scottish,Total population%Slovak,Total population%Subsaharan African,Total population%Swedish,Total population%Swiss,Total population%Ukrainian,Total population%Welsh,Total population%West Indian (except Hispanic groups),Total population%Other groups,Total population%Unclassified or not reported,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,7,2,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,7,3,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,7,4,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,7,5,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,7,6,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,7,7,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,7,8,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,7,9,617996.0,288.0,110.0,40.0,7847.0,3560.0,776.0,38.0,35.0,510.0,101.0,888.0,142.0,315.0,755.0,549.0,106.0,264.0,988.0,0.0,751.0,730.0,3452.0,482.0,49.0,702.0,0.0,300.0,100.0,0.0,1114.0,101.0,793.0,1654.0,4144.0,20590.0,115.0,7974.0,368.0,6184.0,1108.0,23019.0,0.0,1887.0,703.0,1284.0,0.0,506.0,26914.0,225.0,18579.0,294.0,1329.0,165.0,0.0,0.0,0.0,809.0,1784.0,0.0,6149.0,427.0,465.0,7517.0,840.0,3754.0,5012.0,465.0,83.0,283.0,94.0,46.0,16099.0,38.0,3352.0,568.0,111.0,448.0,1289.0,144.0,33.0,386.0,113.0,37.0,0.0,0.0,7775.0,1805.0,2033.0,569.0,284.0,979.0,950.0,6311.0,0.0,136.0,0.0,0.0,269.0,127.0,680.0,2579.0,1632.0,67.0,821.0,0.0,277.0,361547.0,61851.0,617996.0,7847.0,3560.0,3452.0,1114.0,793.0,1654.0,20590.0,7974.0,6184.0,1108.0,23019.0,1887.0,1284.0,26914.0,18579.0,1329.0,1784.0,6149.0,427.0,7517.0,3754.0,5012.0,283.0,16099.0,2033.0,569.0,979.0,950.0,6311.0,376990.0,61851.0,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107960.0,2621.0,1514.0,1400.0,388.0,308.0,598.0,8437.0,2201.0,2206.0,249.0,8165.0,611.0,628.0,9683.0,6960.0,594.0,294.0,2266.0,213.0,3992.0,989.0,1898.0,38.0,816.0,889.0,192.0,677.0,342.0,561.0,32814.0,15416.0,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113679.0,1283.0,452.0,536.0,202.0,91.0,64.0,2203.0,1538.0,988.0,275.0,2500.0,136.0,138.0,3681.0,2324.0,226.0,443.0,729.0,0.0,536.0,345.0,400.0,149.0,6448.0,317.0,140.0,0.0,33.0,2258.0,76457.0,8787.0,79500US1100102,"PUMA5 00102, District of Columbia"
