,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population%Afghan,Total population%Albanian,Total population%Alsatian,Total population%American,Total population%Arab:,Total population%Arab:%Egyptian,Total population%Arab:%Iraqi,Total population%Arab:%Jordanian,Total population%Arab:%Lebanese,Total population%Arab:%Moroccan,Total population%Arab:%Palestinian,Total population%Arab:%Syrian,Total population%Arab:%Arab,Total population%Arab:%Other Arab,Total population%Armenian,Total population%Assyrian/Chaldean/Syriac,Total population%Australian,Total population%Austrian,Total population%Basque,Total population%Belgian,Total population%Brazilian,Total population%British,Total population%Bulgarian,Total population%Cajun,Total population%Canadian,Total population%Carpatho Rusyn,Total population%Celtic,Total population%Croatian,Total population%Cypriot,Total population%Czech,Total population%Czechoslovakian,Total population%Danish,Total population%Dutch,Total population%Eastern European,Total population%English,Total population%Estonian,Total population%European,Total population%Finnish,Total population%French (except Basque),Total population%French Canadian,Total population%German,Total population%German Russian,Total population%Greek,Total population%Guyanese,Total population%Hungarian,Total population%Icelander,Total population%Iranian,Total population%Irish,Total population%Israeli,Total population%Italian,Total population%Latvian,Total population%Lithuanian,Total population%Luxemburger,Total population%Macedonian,Total population%Maltese,Total population%New Zealander,Total population%Northern European,Total population%Norwegian,Total population%Pennsylvania German,Total population%Polish,Total population%Portuguese,Total population%Romanian,Total population%Russian,Total population%Scandinavian,Total population%Scotch-Irish,Total population%Scottish,Total population%Serbian,Total population%Slavic,Total population%Slovak,Total population%Slovene,Total population%Soviet Union,Total population%Subsaharan African:,Total population%Subsaharan African:%Cape Verdean,Total population%Subsaharan African:%Ethiopian,Total population%Subsaharan African:%Ghanaian,Total population%Subsaharan African:%Kenyan,Total population%Subsaharan African:%Liberian,Total population%Subsaharan African:%Nigerian,Total population%Subsaharan African:%Senegalese,Total population%Subsaharan African:%Sierra Leonean,Total population%Subsaharan African:%Somalian,Total population%Subsaharan African:%South African,Total population%Subsaharan African:%Sudanese,Total population%Subsaharan African:%Ugandan,Total population%Subsaharan African:%Zimbabwean,Total population%Subsaharan African:%African,Total population%Subsaharan African:%Other Subsaharan African,Total population%Swedish,Total population%Swiss,Total population%Turkish,Total population%Ukrainian,Total population%Welsh,Total population%West Indian (except Hispanic groups):,Total population%West Indian (except Hispanic groups):%Bahamian,Total population%West Indian (except Hispanic groups):%Barbadian,Total population%West Indian (except Hispanic groups):%Belizean,Total population%West Indian (except Hispanic groups):%Bermudan,Total population%West Indian (except Hispanic groups):%British West Indian,Total population%West Indian (except Hispanic groups):%Dutch West Indian,Total population%West Indian (except Hispanic groups):%Haitian,Total population%West Indian (except Hispanic groups):%Jamaican,Total population%West Indian (except Hispanic groups):%Trinidadian and Tobagonian,Total population%West Indian (except Hispanic groups):%U.S. Virgin Islander,Total population%West Indian (except Hispanic groups):%West Indian,Total population%West Indian (except Hispanic groups):%Other West Indian,Total population%Yugoslavian,Total population%Other groups,Total population%Unclassified or not reported,Total population,Total population%Ancestry specified:,Total population%Ancestry specified:%Single ancestry,Total population%Ancestry specified:%Multiple ancestry,Total population%Ancestry not specified:,Total population%Ancestry not specified:%Ancestry unclassified,Total population%Ancestry not specified:%Ancestry not reported,Total population,Total population%American,Total population%Arab,Total population%British,Total population%Czech,Total population%Danish,Total population%Dutch,Total population%English,Total population%European,Total population%French (except Basque),Total population%French Canadian,Total population%German,Total population%Greek,Total population%Hungarian,Total population%Irish,Total population%Italian,Total population%Lithuanian,Total population%Norwegian,Total population%Polish,Total population%Portuguese,Total population%Russian,Total population%Scotch-Irish,Total population%Scottish,Total population%Slovak,Total population%Subsaharan African,Total population%Swedish,Total population%Swiss,Total population%Ukrainian,Total population%Welsh,Total population%West Indian (except Hispanic groups),Total population%Other groups,Total population%Unclassified or not reported,Total population,Total population%Ancestry specified:,Total population%Ancestry specified:%Single ancestry,Total population%Ancestry specified:%Multiple ancestry,Total population%Ancestry not specified,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,12,2,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,12,3,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,12,4,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,12,5,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,12,6,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,12,7,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,12,8,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,12,9,617996.0,288.0,110.0,40.0,16002.0,5065.0,854.0,77.0,35.0,795.0,211.0,912.0,621.0,525.0,1294.0,549.0,106.0,300.0,1977.0,0.0,1125.0,730.0,4293.0,556.0,161.0,1078.0,0.0,300.0,321.0,0.0,1970.0,200.0,1343.0,3253.0,4967.0,29912.0,197.0,9476.0,624.0,10176.0,2171.0,40182.0,0.0,1992.0,756.0,2033.0,0.0,605.0,40177.0,225.0,23718.0,412.0,2420.0,210.0,0.0,94.0,0.0,923.0,3323.0,0.0,11136.0,1015.0,683.0,10196.0,946.0,4922.0,7961.0,500.0,83.0,557.0,275.0,46.0,16706.0,175.0,3394.0,568.0,111.0,448.0,1289.0,144.0,64.0,386.0,113.0,213.0,0.0,0.0,8547.0,1861.0,3315.0,1382.0,393.0,1879.0,2415.0,7090.0,0.0,279.0,0.0,0.0,446.0,127.0,883.0,2769.0,1806.0,67.0,977.0,0.0,308.0,370586.0,62322.0,617996,556854,442462,114392,61142,11662,49480,617996.0,16002.0,5065.0,4293.0,1970.0,1343.0,3253.0,29912.0,9476.0,10176.0,2171.0,40182.0,1992.0,2033.0,40177.0,23718.0,2420.0,3323.0,11136.0,1015.0,10196.0,4922.0,7961.0,557.0,16706.0,3315.0,1382.0,1879.0,2415.0,7090.0,388219.0,62322.0,617996,556854,442462,114392,61142,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107960,92907,54657,38250,15053,1371,13682,107960.0,3239.0,2407.0,1872.0,629.0,538.0,1084.0,11987.0,2747.0,4072.0,667.0,15399.0,683.0,909.0,14457.0,9012.0,1113.0,506.0,4201.0,625.0,5170.0,1631.0,2781.0,86.0,816.0,1476.0,614.0,1048.0,854.0,901.0,36457.0,15564.0,107960,92907,54657,38250,15053,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113679,105136,86504,18632,8543,444,8099,113679.0,3230.0,776.0,657.0,250.0,122.0,357.0,3237.0,2185.0,1558.0,580.0,4902.0,169.0,216.0,5539.0,2972.0,371.0,716.0,1224.0,0.0,780.0,446.0,990.0,189.0,6619.0,496.0,198.0,0.0,184.0,2324.0,78144.0,8988.0,113679,105136,86504,18632,8543,79500US1100102,"PUMA5 00102, District of Columbia"
