,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Own children under 18 years living in families or subfamilies for whom poverty status is determined,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:%Living with two parents:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:%Living with two parents:%Both parents native,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:%Living with two parents:%Both parents foreign born,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:%Living with two parents:%One native and one foreign-born parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:%Living with one parent:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:%Living with one parent:%Native parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 1.00:%Living with one parent:%Foreign-born parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:%Living with two parents:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:%Living with two parents:%Both parents native,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:%Living with two parents:%Both parents foreign born,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:%Living with two parents:%One native and one foreign-born parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:%Living with one parent:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:%Living with one parent:%Native parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%1.00 to 1.99:%Living with one parent:%Foreign-born parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with two parents:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with two parents:%Both parents native,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with two parents:%Both parents foreign born,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with two parents:%One native and one foreign-born parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with one parent:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with one parent:%Native parent,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with one parent:%Foreign-born parent,Foreign-born population,Foreign-born population%Not a U.S. citizen,Foreign-born population%Naturalized citizens:,Foreign-born population%Naturalized citizens:%Naturalized 2005 or later,Foreign-born population%Naturalized citizens:%Naturalized 2000 to 2004,Foreign-born population%Naturalized citizens:%Naturalized 1995 to 1999,Foreign-born population%Naturalized citizens:%Naturalized 1990 to 1994,Foreign-born population%Naturalized citizens:%Naturalized 1985 to 1989,Foreign-born population%Naturalized citizens:%Naturalized 1980 to 1984,Foreign-born population%Naturalized citizens:%Naturalized before 1980,Total population in the United States,Total population in the United States%Native,Total population in the United States%Foreign-Born,Own children under 18 years living in families or subfamilies for whom poverty status is determined,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 2.0:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 2.0:%Living with only native parent(s),Own children under 18 years living in families or subfamilies for whom poverty status is determined%Under 2.0:%Living with one or more foreign born parent(s),Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:,Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with only native parent(s),Own children under 18 years living in families or subfamilies for whom poverty status is determined%2.0  and over:%Living with one or more foreign born parent(s),Foreign-born population,Foreign-born population%Not a U.S. citizen,Foreign-born population%Naturalized citizens:,Foreign-born population%Naturalized citizens:%Naturalized 2000 or later,Foreign-born population%Naturalized citizens:%Naturalized 1985 to 1999,Foreign-born population%Naturalized citizens:%Naturalized before 1985,Geographic Identifier,Area Name
0,ACSSF,20110.0,dc,0,18,2,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,04001US11,District of Columbia -- Urban
1,ACSSF,20110.0,dc,0,18,3,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20110.0,dc,0,18,4,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20110.0,dc,0,18,5,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20110.0,dc,0,18,6,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20110.0,dc,0,18,7,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20110.0,dc,0,18,8,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20110.0,dc,0,18,9,99355.0,30097.0,1299.0,356.0,943.0,0.0,28798.0,25560.0,3238.0,14069.0,1920.0,482.0,1372.0,66.0,12149.0,9759.0,2390.0,55189.0,32908.0,22566.0,5639.0,4703.0,22281.0,18811.0,3470.0,83599.0,52026.0,31573.0,9287.0,6575.0,4996.0,2409.0,1703.0,1810.0,4793.0,617996,534397,83599,99355,44166,36157,8009,55189,41377,13812,83599,52026,31573,15862,9108,6603,50000US1198,"Delegate District (at Large) (112th Congress), District of Columbia"
8,ACSSF,20110.0,dc,0,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,18979.0,11800.0,7179.0,1923.0,1123.0,795.0,224.0,895.0,236.0,1983.0,107960,88981,18979,16317,277,0,277,16040,11827,4213,18979,11800,7179,3046,1914,2219,79500US1100101,"PUMA5 00101, District of Columbia"
9,ACSSF,20110.0,dc,0,18,11,20574.0,5084.0,529.0,0.0,529.0,0.0,4555.0,2980.0,1575.0,3403.0,1152.0,141.0,1011.0,0.0,2251.0,1163.0,1088.0,12087.0,7894.0,4191.0,2439.0,1264.0,4193.0,2564.0,1629.0,26785.0,17017.0,9768.0,3148.0,1995.0,1765.0,901.0,303.0,623.0,1033.0,113679,86894,26785,20574,8487,4284,4203,12087,6755,5332,26785,17017,9768,5143,2969,1656,79500US1100102,"PUMA5 00102, District of Columbia"
