,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population% Not Hispanic or Latino,Total population% Hispanic or Latino:,Total population% Hispanic or Latino:% Mexican,Total population% Hispanic or Latino:% Puerto Rican,Total population% Hispanic or Latino:% Cuban,Total population% Hispanic or Latino:% Dominican (Dominican Republic),Total population% Hispanic or Latino:% Central American:,Total population% Hispanic or Latino:% Central American:% Costa Rican,Total population% Hispanic or Latino:% Central American:% Guatemalan,Total population% Hispanic or Latino:% Central American:% Honduran,Total population% Hispanic or Latino:% Central American:% Nicaraguan,Total population% Hispanic or Latino:% Central American:% Panamanian,Total population% Hispanic or Latino:% Central American:% Salvadoran,Total population% Hispanic or Latino:% Central American:% Other Central American,Total population% Hispanic or Latino:% South American:,Total population% Hispanic or Latino:% South American:% Argentinean,Total population% Hispanic or Latino:% South American:% Bolivian,Total population% Hispanic or Latino:% South American:% Chilean,Total population% Hispanic or Latino:% South American:% Colombian,Total population% Hispanic or Latino:% South American:% Ecuadorian,Total population% Hispanic or Latino:% South American:% Paraguayan,Total population% Hispanic or Latino:% South American:% Peruvian,Total population% Hispanic or Latino:% South American:% Uruguayan,Total population% Hispanic or Latino:% South American:% Venezuelan,Total population% Hispanic or Latino:% South American:% Other South American,Total population% Hispanic or Latino:% Other Hispanic or Latino:,Total population% Hispanic or Latino:% Other Hispanic or Latino:% Spaniard,Total population% Hispanic or Latino:% Other Hispanic or Latino:% Spanish,Total population% Hispanic or Latino:% Other Hispanic or Latino:% Spanish American,Total population% Hispanic or Latino:% Other Hispanic or Latino:% All other Hispanic or Latino,Total population,Total population% Not Hispanic or Latino:,Total population% Not Hispanic or Latino:% White alone,Total population% Not Hispanic or Latino:% Black or African American alone,Total population% Not Hispanic or Latino:% American Indian and Alaska Native alone,Total population% Not Hispanic or Latino:% Asian alone,Total population% Not Hispanic or Latino:% Native Hawaiian and Other Pacific Islander alone,Total population% Not Hispanic or Latino:% Some other race alone,Total population% Not Hispanic or Latino:% Two or more races:,Total population% Not Hispanic or Latino:% Two or more races:% Two races including Some other race,"Total population% Not Hispanic or Latino:% Two or more races:% Two races excluding Some other race, and three or more races",Total population% Hispanic or Latino:,Total population% Hispanic or Latino:% White alone,Total population% Hispanic or Latino:% Black or African American alone,Total population% Hispanic or Latino:% American Indian and Alaska Native alone,Total population% Hispanic or Latino:% Asian alone,Total population% Hispanic or Latino:% Native Hawaiian and Other Pacific Islander alone,Total population% Hispanic or Latino:% Some other race alone,Total population% Hispanic or Latino:% Two or more races:,Total population% Hispanic or Latino:% Two or more races:% Two races including Some other race,"Total population% Hispanic or Latino:% Two or more races:% Two races excluding Some other race, and three or more races",Total population,Total population% Not Hispanic or Latino,Total population% Hispanic or Latino,Total population,Total population% Not Hispanic or Latino,Total population% Hispanic or Latino:,Total population% Hispanic or Latino:% Mexican,Total population% Hispanic or Latino:% Puerto Rican,Total population% Hispanic or Latino:% Cuban,Total population% Hispanic or Latino:% Dominican (Dominican Republic),Total population% Hispanic or Latino:% Central American,Total population% Hispanic or Latino:% South American,Total population% Hispanic or Latino:% Other Hispanic or Latino,Total population,Total population% Not Hispanic or Latino:,Total population% Not Hispanic or Latino:% White alone,Total population% Not Hispanic or Latino:% Black or African American alone,Total population% Not Hispanic or Latino:% American Indian and Alaska Native alone,Total population% Not Hispanic or Latino:% Asian alone,Total population% Not Hispanic or Latino:% Native Hawaiian and Other Pacific Islander alone,Total population% Not Hispanic or Latino:% Some other race alone,Total population% Not Hispanic or Latino:% Two or more races:,Total population% Not Hispanic or Latino:% Two or more races:% Two races including Some other race,"Total population% Not Hispanic or Latino:% Two or more races:% Two races excluding Some other race, and three or more races",Total population% Hispanic or Latino,Geographic Identifier,Area Name
0,ACSSF,20120.0,dc,0,6,2,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,04001US11,District of Columbia -- Urban
1,ACSSF,20120.0,dc,0,6,3,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20120.0,dc,0,6,4,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20120.0,dc,0,6,5,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20120.0,dc,0,6,6,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20120.0,dc,0,6,7,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20120.0,dc,0,6,8,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20120.0,dc,0,6,9,632323.0,569597.0,62726.0,8486.0,4267.0,1850.0,3681.0,31467.0,777.0,3242.0,2256.0,746.0,916.0,23484.0,46.0,7641.0,1401.0,299.0,408.0,2163.0,1356.0,236.0,1334.0,104.0,196.0,144.0,5334.0,1114.0,394.0,0.0,3826.0,632323.0,569597.0,222975.0,308286.0,1566.0,21717.0,54.0,1659.0,13340.0,1385.0,11955.0,62726.0,27682.0,4938.0,692.0,141.0,0.0,26742.0,2531.0,1269.0,1262.0,632323,569597,62726,632323,569597,62726,8486,4267,1850,3681,31467,7641,5334,632323,569597,222975,308286,1566,21717,54,1659,13340,1385,11955,62726,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20120.0,dc,0,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108726,101561,7165,108726,101561,7165,943,1090,1068,231,930,2234,669,108726,101561,82110,8246,366,6988,0,85,3766,127,3639,7165,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20120.0,dc,0,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123326.0,94327.0,23686.0,64697.0,299.0,2994.0,0.0,300.0,2351.0,39.0,2312.0,28999.0,11919.0,1895.0,476.0,0.0,0.0,14041.0,668.0,353.0,315.0,123326,94327,28999,123326,94327,28999,2541,1500,126,490,20488,1700,2154,123326,94327,23686,64697,299,2994,0,300,2351,39,2312,28999,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
