,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Workers 16 years and over,Workers 16 years and over% Imputed,Workers 16 years and over% Not imputed,Workers 16 years and over,Workers 16 years and over% Did not work at home:,Workers 16 years and over% Did not work at home:% Time arriving at work from home --% Imputed for either departure time or minutes to work,Workers 16 years and over% Did not work at home:% Time arriving at work from home --% Not imputed for either departure time or minutes to work,Workers 16 years and over% Worked at home,Workers 16 years and over,Workers 16 years and over% Did not work at home:,Workers 16 years and over% Did not work at home:% Travel time to work --% Imputed,Workers 16 years and over% Did not work at home:% Travel time to work --% Not imputed,Workers 16 years and over% Worked at home,Workers 16 years and over in households,Workers 16 years and over in households% Imputed,Workers 16 years and over in households% Not imputed,Geographic Identifier,Area Name
0,ACSSF,20120.0,dc,0,176,2,,,,,,,,,,,,,,,,,04001US11,District of Columbia -- Urban
1,ACSSF,20120.0,dc,0,176,3,,,,,,,,,,,,,,,,,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20120.0,dc,0,176,4,,,,,,,,,,,,,,,,,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20120.0,dc,0,176,5,,,,,,,,,,,,,,,,,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20120.0,dc,0,176,6,796394.0,55373.0,741021.0,796394.0,781265.0,97126.0,684139.0,15129.0,796394.0,781265.0,72341.0,708924.0,15129.0,783989.0,6828.0,777161.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20120.0,dc,0,176,7,796394.0,55373.0,741021.0,796394.0,781265.0,97126.0,684139.0,15129.0,796394.0,781265.0,72341.0,708924.0,15129.0,783989.0,6828.0,777161.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20120.0,dc,0,176,8,796394.0,55373.0,741021.0,796394.0,781265.0,97126.0,684139.0,15129.0,796394.0,781265.0,72341.0,708924.0,15129.0,783989.0,6828.0,777161.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20120.0,dc,0,176,9,,,,,,,,,,,,,,,,,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20120.0,dc,0,176,10,,,,,,,,,,,,,,,,,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20120.0,dc,0,176,11,,,,,,,,,,,,,,,,,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20120.0,dc,0,176,12,,,,,,,,,,,,,,,,,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20120.0,dc,0,176,13,,,,,,,,,,,,,,,,,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20120.0,dc,0,176,14,,,,,,,,,,,,,,,,,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20120.0,dc,0,176,15,,,,,,,,,,,,,,,,,97000US1100030,"District of Columbia Public Schools, District of Columbia"
