,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population%%Afghan,Total population%%Albanian,Total population%%Alsatian,Total population%%American,Total population%%Arab:,Total population%%Arab:%%Egyptian,Total population%%Arab:%%Iraqi,Total population%%Arab:%%Jordanian,Total population%%Arab:%%Lebanese,Total population%%Arab:%%Moroccan,Total population%%Arab:%%Palestinian,Total population%%Arab:%%Syrian,Total population%%Arab:%%Arab,Total population%%Arab:%%Other Arab,Total population%%Armenian,Total population%%Assyrian/Chaldean/Syriac,Total population%%Australian,Total population%%Austrian,Total population%%Basque,Total population%%Belgian,Total population%%Brazilian,Total population%%British,Total population%%Bulgarian,Total population%%Cajun,Total population%%Canadian,Total population%%Carpatho Rusyn,Total population%%Celtic,Total population%%Croatian,Total population%%Cypriot,Total population%%Czech,Total population%%Czechoslovakian,Total population%%Danish,Total population%%Dutch,Total population%%Eastern European,Total population%%English,Total population%%Estonian,Total population%%European,Total population%%Finnish,Total population%%French (except Basque),Total population%%French Canadian,Total population%%German,Total population%%German Russian,Total population%%Greek,Total population%%Guyanese,Total population%%Hungarian,Total population%%Icelander,Total population%%Iranian,Total population%%Irish,Total population%%Israeli,Total population%%Italian,Total population%%Latvian,Total population%%Lithuanian,Total population%%Luxemburger,Total population%%Macedonian,Total population%%Maltese,Total population%%New Zealander,Total population%%Northern European,Total population%%Norwegian,Total population%%Pennsylvania German,Total population%%Polish,Total population%%Portuguese,Total population%%Romanian,Total population%%Russian,Total population%%Scandinavian,Total population%%Scotch-Irish,Total population%%Scottish,Total population%%Serbian,Total population%%Slavic,Total population%%Slovak,Total population%%Slovene,Total population%%Soviet Union,Total population%%Subsaharan African:,Total population%%Subsaharan African:%%Cape Verdean,Total population%%Subsaharan African:%%Ethiopian,Total population%%Subsaharan African:%%Ghanaian,Total population%%Subsaharan African:%%Kenyan,Total population%%Subsaharan African:%%Liberian,Total population%%Subsaharan African:%%Nigerian,Total population%%Subsaharan African:%%Senegalese,Total population%%Subsaharan African:%%Sierra Leonean,Total population%%Subsaharan African:%%Somalian,Total population%%Subsaharan African:%%South African,Total population%%Subsaharan African:%%Sudanese,Total population%%Subsaharan African:%%Ugandan,Total population%%Subsaharan African:%%Zimbabwean,Total population%%Subsaharan African:%%African,Total population%%Subsaharan African:%%Other Subsaharan African,Total population%%Swedish,Total population%%Swiss,Total population%%Turkish,Total population%%Ukrainian,Total population%%Welsh,Total population%%West Indian (except Hispanic groups):,Total population%%West Indian (except Hispanic groups):%%Bahamian,Total population%%West Indian (except Hispanic groups):%%Barbadian,Total population%%West Indian (except Hispanic groups):%%Belizean,Total population%%West Indian (except Hispanic groups):%%Bermudan,Total population%%West Indian (except Hispanic groups):%%British West Indian,Total population%%West Indian (except Hispanic groups):%%Dutch West Indian,Total population%%West Indian (except Hispanic groups):%%Haitian,Total population%%West Indian (except Hispanic groups):%%Jamaican,Total population%%West Indian (except Hispanic groups):%%Trinidadian and Tobagonian,Total population%%West Indian (except Hispanic groups):%%US Virgin Islander,Total population%%West Indian (except Hispanic groups):%%West Indian,Total population%%West Indian (except Hispanic groups):%%Other West Indian,Total population%%Yugoslavian,Total population%%Other groups,Total population%%Unclassified or not reported,Total population,Total population%%American,Total population%%Arab,Total population%%British,Total population%%Czech,Total population%%Danish,Total population%%Dutch,Total population%%English,Total population%%European,Total population%%French (except Basque),Total population%%French Canadian,Total population%%German,Total population%%Greek,Total population%%Hungarian,Total population%%Irish,Total population%%Italian,Total population%%Lithuanian,Total population%%Norwegian,Total population%%Polish,Total population%%Portuguese,Total population%%Russian,Total population%%Scotch-Irish,Total population%%Scottish,Total population%%Slovak,Total population%%Subsaharan African,Total population%%Swedish,Total population%%Swiss,Total population%%Ukrainian,Total population%%Welsh,Total population%%West Indian (except Hispanic groups),Total population%%Other groups,Total population%%Unclassified or not reported,Geographic Identifier,Area Name
0,ACSSF,20130.0,dc,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,04001US11,District of Columbia -- Urban
1,ACSSF,20130.0,dc,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20130.0,dc,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20130.0,dc,0,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20130.0,dc,0,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20130.0,dc,0,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20130.0,dc,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20130.0,dc,0,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646449.0,7082.0,600.0,1046.0,842.0,726.0,1947.0,14098.0,605.0,3588.0,961.0,17641.0,634.0,1116.0,13630.0,6325.0,811.0,962.0,5277.0,881.0,3286.0,973.0,3267.0,413.0,719.0,1896.0,290.0,1530.0,1320.0,2786.0,31052.0,520145.0,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20130.0,dc,0,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105713.0,817.0,229.0,159.0,324.0,45.0,335.0,4185.0,72.0,1319.0,386.0,5512.0,211.0,501.0,4883.0,1866.0,420.0,474.0,1836.0,353.0,1020.0,558.0,1127.0,233.0,0.0,623.0,102.0,521.0,171.0,454.0,9503.0,67474.0,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20130.0,dc,0,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123126.0,1996.0,94.0,309.0,130.0,148.0,339.0,1374.0,41.0,452.0,122.0,2426.0,181.0,145.0,2051.0,773.0,0.0,115.0,681.0,83.0,594.0,40.0,236.0,38.0,312.0,193.0,22.0,249.0,194.0,1038.0,5330.0,103420.0,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20130.0,dc,0,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113517.0,1432.0,93.0,323.0,71.0,194.0,370.0,2407.0,394.0,726.0,274.0,3008.0,38.0,0.0,2301.0,1123.0,34.0,235.0,554.0,256.0,205.0,194.0,871.0,46.0,42.0,313.0,0.0,243.0,146.0,531.0,4475.0,92618.0,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20130.0,dc,0,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20130.0,dc,0,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154914.0,1371.0,142.0,255.0,270.0,339.0,903.0,5516.0,98.0,1003.0,179.0,6365.0,204.0,470.0,3972.0,2400.0,357.0,138.0,2151.0,189.0,1430.0,181.0,987.0,96.0,268.0,723.0,166.0,517.0,809.0,306.0,9010.0,114099.0,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
