,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,Total population,Total population%%Afghan,Total population%%Albanian,Total population%%Alsatian,Total population%%American,Total population%%Arab:,Total population%%Arab:%%Egyptian,Total population%%Arab:%%Iraqi,Total population%%Arab:%%Jordanian,Total population%%Arab:%%Lebanese,Total population%%Arab:%%Moroccan,Total population%%Arab:%%Palestinian,Total population%%Arab:%%Syrian,Total population%%Arab:%%Arab,Total population%%Arab:%%Other Arab,Total population%%Armenian,Total population%%Assyrian/Chaldean/Syriac,Total population%%Australian,Total population%%Austrian,Total population%%Basque,Total population%%Belgian,Total population%%Brazilian,Total population%%British,Total population%%Bulgarian,Total population%%Cajun,Total population%%Canadian,Total population%%Carpatho Rusyn,Total population%%Celtic,Total population%%Croatian,Total population%%Cypriot,Total population%%Czech,Total population%%Czechoslovakian,Total population%%Danish,Total population%%Dutch,Total population%%Eastern European,Total population%%English,Total population%%Estonian,Total population%%European,Total population%%Finnish,Total population%%French (except Basque),Total population%%French Canadian,Total population%%German,Total population%%German Russian,Total population%%Greek,Total population%%Guyanese,Total population%%Hungarian,Total population%%Icelander,Total population%%Iranian,Total population%%Irish,Total population%%Israeli,Total population%%Italian,Total population%%Latvian,Total population%%Lithuanian,Total population%%Luxemburger,Total population%%Macedonian,Total population%%Maltese,Total population%%New Zealander,Total population%%Northern European,Total population%%Norwegian,Total population%%Pennsylvania German,Total population%%Polish,Total population%%Portuguese,Total population%%Romanian,Total population%%Russian,Total population%%Scandinavian,Total population%%Scotch-Irish,Total population%%Scottish,Total population%%Serbian,Total population%%Slavic,Total population%%Slovak,Total population%%Slovene,Total population%%Soviet Union,Total population%%Subsaharan African:,Total population%%Subsaharan African:%%Cape Verdean,Total population%%Subsaharan African:%%Ethiopian,Total population%%Subsaharan African:%%Ghanaian,Total population%%Subsaharan African:%%Kenyan,Total population%%Subsaharan African:%%Liberian,Total population%%Subsaharan African:%%Nigerian,Total population%%Subsaharan African:%%Senegalese,Total population%%Subsaharan African:%%Sierra Leonean,Total population%%Subsaharan African:%%Somalian,Total population%%Subsaharan African:%%South African,Total population%%Subsaharan African:%%Sudanese,Total population%%Subsaharan African:%%Ugandan,Total population%%Subsaharan African:%%Zimbabwean,Total population%%Subsaharan African:%%African,Total population%%Subsaharan African:%%Other Subsaharan African,Total population%%Swedish,Total population%%Swiss,Total population%%Turkish,Total population%%Ukrainian,Total population%%Welsh,Total population%%West Indian (except Hispanic groups):,Total population%%West Indian (except Hispanic groups):%%Bahamian,Total population%%West Indian (except Hispanic groups):%%Barbadian,Total population%%West Indian (except Hispanic groups):%%Belizean,Total population%%West Indian (except Hispanic groups):%%Bermudan,Total population%%West Indian (except Hispanic groups):%%British West Indian,Total population%%West Indian (except Hispanic groups):%%Dutch West Indian,Total population%%West Indian (except Hispanic groups):%%Haitian,Total population%%West Indian (except Hispanic groups):%%Jamaican,Total population%%West Indian (except Hispanic groups):%%Trinidadian and Tobagonian,Total population%%West Indian (except Hispanic groups):%%US Virgin Islander,Total population%%West Indian (except Hispanic groups):%%West Indian,Total population%%West Indian (except Hispanic groups):%%Other West Indian,Total population%%Yugoslavian,Total population%%Other groups,Total population%%Unclassified or not reported,Total population,Total population%%Ancestry specified:,Total population%%Ancestry specified:%%Single ancestry,Total population%%Ancestry specified:%%Multiple ancestry,Total population%%Ancestry not specified:,Total population%%Ancestry not specified:%%Ancestry unclassified,Total population%%Ancestry not specified:%%Ancestry not reported,Total population,Total population%%American,Total population%%Arab,Total population%%British,Total population%%Czech,Total population%%Danish,Total population%%Dutch,Total population%%English,Total population%%European,Total population%%French (except Basque),Total population%%French Canadian,Total population%%German,Total population%%Greek,Total population%%Hungarian,Total population%%Irish,Total population%%Italian,Total population%%Lithuanian,Total population%%Norwegian,Total population%%Polish,Total population%%Portuguese,Total population%%Russian,Total population%%Scotch-Irish,Total population%%Scottish,Total population%%Slovak,Total population%%Subsaharan African,Total population%%Swedish,Total population%%Swiss,Total population%%Ukrainian,Total population%%Welsh,Total population%%West Indian (except Hispanic groups),Total population%%Other groups,Total population%%Unclassified or not reported,Total population,Total population%%Ancestry specified:,Total population%%Ancestry specified:%%Single ancestry,Total population%%Ancestry specified:%%Multiple ancestry,Total population%%Ancestry not specified,Geographic Identifier,Area Name
0,ACSSF,20130.0,dc,0,12,2,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,04001US11,District of Columbia -- Urban
1,ACSSF,20130.0,dc,0,12,3,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20130.0,dc,0,12,4,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20130.0,dc,0,12,5,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20130.0,dc,0,12,6,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20130.0,dc,0,12,7,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20130.0,dc,0,12,8,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20130.0,dc,0,12,9,646449.0,0.0,143.0,0.0,17315.0,2900.0,602.0,168.0,95.0,610.0,379.0,337.0,211.0,356.0,371.0,1247.0,242.0,639.0,2822.0,0.0,594.0,1403.0,4942.0,295.0,58.0,1824.0,38.0,69.0,620.0,0.0,2147.0,92.0,1378.0,3740.0,5885.0,32992.0,53.0,11608.0,757.0,8048.0,2268.0,43094.0,0.0,2682.0,923.0,2786.0,83.0,1188.0,42268.0,230.0,25099.0,728.0,2075.0,0.0,83.0,41.0,158.0,1120.0,4370.0,295.0,15193.0,2017.0,945.0,11349.0,864.0,3126.0,9022.0,1331.0,321.0,1014.0,792.0,51.0,23000.0,144.0,7320.0,554.0,231.0,0.0,4139.0,224.0,39.0,0.0,138.0,143.0,0.0,0.0,8682.0,1483.0,4784.0,1481.0,1159.0,2310.0,2970.0,10115.0,728.0,195.0,0.0,91.0,600.0,72.0,1717.0,4685.0,1470.0,0.0,992.0,274.0,228.0,319237.0,117642.0,646449,528807,402503,126304,117642,38214,79428,646449.0,17315.0,2900.0,4942.0,2147.0,1378.0,3740.0,32992.0,11608.0,8048.0,2268.0,43094.0,2682.0,2786.0,42268.0,25099.0,2075.0,4370.0,15193.0,2017.0,11349.0,3126.0,9022.0,1014.0,23000.0,4784.0,1481.0,2310.0,2970.0,10115.0,343243.0,117642.0,646449,528807,402503,126304,117642,50000US1198,"Delegate District (at Large) (113th Congress), District of Columbia"
8,ACSSF,20130.0,dc,0,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105713,90737,52498,38239,14976,2636,12340,105713.0,3283.0,1209.0,1647.0,573.0,350.0,705.0,10826.0,1865.0,3303.0,921.0,13574.0,809.0,981.0,14409.0,8079.0,611.0,1247.0,5486.0,847.0,4498.0,1363.0,2611.0,475.0,1391.0,1631.0,475.0,889.0,563.0,824.0,39535.0,14976.0,105713,90737,52498,38239,14976,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20130.0,dc,0,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123126,103086,83380,19706,20040,2293,17747,123126.0,4162.0,172.0,789.0,178.0,176.0,483.0,4580.0,1341.0,1092.0,204.0,5431.0,496.0,546.0,5137.0,2641.0,245.0,758.0,1643.0,151.0,1240.0,472.0,1194.0,77.0,10988.0,532.0,164.0,353.0,695.0,2908.0,70160.0,20040.0,123126,103086,83380,19706,20040,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
