,FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,GROUP QUARTERS POPULATION for Population In Group Quarters% Total:,Geographic Identifier,Area Name
0,ACSSF,20160.0,dc,0,150,2,39769,04001US11,District of Columbia -- Urban
1,ACSSF,20160.0,dc,0,150,3,39769,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area
2,ACSSF,20160.0,dc,0,150,4,39769,040C0US11,District of Columbia -- In metropolitan statistical area
3,ACSSF,20160.0,dc,0,150,5,39769,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city
4,ACSSF,20160.0,dc,0,150,6,39769,05000US11001,"District of Columbia, District of Columbia"
5,ACSSF,20160.0,dc,0,150,7,39769,16000US1150000,"Washington city, District of Columbia"
6,ACSSF,20160.0,dc,0,150,8,39769,31200US479001150000,"Washington city, DC; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
7,ACSSF,20160.0,dc,0,150,9,39769,50000US1198,"Delegate District (at Large) (115th Congress), District of Columbia"
8,ACSSF,20160.0,dc,0,150,10,9119,79500US1100101,"District of Columbia (West) PUMA, District of Columbia"
9,ACSSF,20160.0,dc,0,150,11,4182,79500US1100102,"District of Columbia (North) PUMA, District of Columbia"
10,ACSSF,20160.0,dc,0,150,12,8069,79500US1100103,"District of Columbia (Northeast) PUMA, District of Columbia"
11,ACSSF,20160.0,dc,0,150,13,4740,79500US1100104,"District of Columbia (East) PUMA, District of Columbia"
12,ACSSF,20160.0,dc,0,150,14,13659,79500US1100105,"District of Columbia (Central) PUMA, District of Columbia"
13,ACSSF,20160.0,dc,0,150,15,39769,97000US1100030,"District of Columbia Public Schools, District of Columbia"
