,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
0,"Aberdeen, SD Micro Area",42078,10100,38924,8101,1230,1573,4104,2999,5692,260,1500,349,22652,22454,21131,198,1323,4092,961,837,903,1065,825,925,923,741,860,1635,1993,2661,1395,845,364,649,53289,53619,,41964
1,"Aberdeen, WA Micro Area",71419,10140,62414,12907,3355,5477,9458,5862,4994,284,1796,395,25696,25544,21346,152,4198,12357,2548,1792,1370,1689,1553,2022,1538,1536,1340,2176,3020,2812,2210,655,565,393,43538,43743,,34025
2,"Abilene, TX Metro Area",167945,10180,136361,24226,8821,8098,18358,7005,15773,1116,5037,871,72827,72527,63734,300,8793,27228,4969,3991,3817,3616,3559,3838,3162,3293,2606,5521,6059,6517,3879,1961,1839,1611,44799,46585,32936,38460
3,"Ada, OK Micro Area",38055,10220,27048,6893,1260,1319,4209,1131,4063,252,1970,304,17147,17022,15654,125,1368,6769,1260,851,1050,1056,967,829,670,897,619,1299,1458,1885,885,343,331,191,43261,45748,31639,29279
4,"Adjuntas, PR Micro Area",18962,10260,17862,3169,156,88,1607,615,1768,59,256,65,4073,4073,2085,0,1988,11645,3087,770,486,318,276,270,266,118,147,231,138,86,59,22,20,28,10499,10536,13571,10566
5,"Adrian, MI Micro Area",98902,10300,91364,21187,3506,5992,10868,5923,8583,518,3543,310,42059,39169,25802,2890,13367,13427,2226,2207,2313,2225,2434,2148,2393,1877,1895,3512,4309,4915,2632,1510,869,499,48043,48743,32452,31194
6,"Aguadilla-Isabela, PR Metro Area",325921,10380,237274,51871,7049,2344,22524,18343,33729,1145,7723,1319,77837,77699,43010,138,34689,172318,37891,15609,12029,8945,6985,6065,4643,3935,2988,4408,3276,2055,826,335,247,195,15616,15373,17202,15502
7,"Akron, OH Metro Area",703744,10420,580792,143815,15826,31274,64985,38006,89205,8283,36399,6460,332619,330451,221743,2168,108708,102877,22578,15305,15353,15002,14896,14765,13646,14052,12135,23771,29006,34339,22149,12946,11608,10406,51160,55103,27629,44278
8,"Alamogordo, NM Micro Area",65318,10460,49613,9799,2631,3459,8212,3941,3790,217,2589,302,23985,22653,21541,1332,1112,14387,2155,2002,2079,1677,1352,1147,1488,1204,1168,1883,2454,2779,989,598,402,291,39775,42728,36168,25018
9,"Albany, GA Metro Area",155917,10500,68371,25954,5261,6442,17832,7198,10426,1410,4943,814,59147,58603,36286,544,22317,39387,8703,4209,3618,3972,3801,3105,3166,2953,2242,4445,4980,5263,3127,1630,1647,1136,37404,53144,26504,35805
